RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Age_Group,Satisfaction_Group
2049,15771702,Roberts,567,France,Female,35,5,166118.0,2,Yes,No,127827.18,0,Not Complained,4,GOLD,239,Early_Adult,Satisfied
2050,15723008,Lo Duca,720,France,Female,45,1,102882.0,2,Yes,Yes,35633.15,1,Complained,3,DIAMOND,219,Middle_Age,Neutral
2051,15797160,Glover,492,France,Female,49,8,76486.0,1,Yes,Yes,182865.09,1,Complained,5,PLATINUM,485,Senior,Very Satisfied
2052,15792222,Johnstone,712,France,Female,37,1,106882.0,2,No,No,169386.81,0,Not Complained,2,PLATINUM,275,Middle_Age,Dissatisfied
2053,15644765,Ashton,689,Germany,Male,26,4,120728.0,1,No,Yes,149073.88,0,Not Complained,5,PLATINUM,915,Early_Adult,Very Satisfied
2054,15610686,Melton,850,France,Male,63,8,169833.0,1,No,No,184107.26,1,Complained,1,SILVER,965,Elder,Very Dissatisfied
2055,15730868,Marshall,747,France,Male,41,5,76486.0,2,Yes,Yes,22750.17,0,Not Complained,3,DIAMOND,339,Middle_Age,Neutral
2056,15705991,Kenenna,469,Germany,Male,38,9,113599.0,1,No,No,11950.29,0,Not Complained,3,DIAMOND,880,Middle_Age,Neutral
2057,15577078,Zakharov,539,Spain,Male,38,6,76486.0,1,Yes,Yes,152880.07,1,Complained,3,SILVER,219,Middle_Age,Neutral
2058,15679550,Chukwualuka,743,France,Male,32,9,76486.0,2,Yes,No,175252.78,0,Not Complained,4,DIAMOND,364,Early_Adult,Satisfied
2059,15787655,Chu,707,France,Male,47,3,76486.0,2,Yes,No,174303.29,0,Not Complained,5,GOLD,791,Senior,Very Satisfied
2060,15668081,Capon,581,Spain,Female,50,4,76486.0,2,Yes,Yes,80701.72,0,Not Complained,3,GOLD,232,Senior,Neutral
2061,15747980,Cattaneo,737,Spain,Male,38,6,146283.0,2,Yes,No,198516.2,0,Not Complained,5,PLATINUM,703,Middle_Age,Very Satisfied
2062,15710295,Patrick,445,Germany,Female,38,6,119414.0,2,Yes,No,175756.36,0,Not Complained,2,GOLD,263,Middle_Age,Dissatisfied
2063,15724443,Taylor,703,Germany,Female,29,3,122085.0,1,No,Yes,82824.08,0,Not Complained,2,PLATINUM,712,Early_Adult,Dissatisfied
2064,15571305,Stephenson,588,Germany,Female,35,1,103061.0,1,Yes,No,179866.01,1,Complained,5,DIAMOND,697,Early_Adult,Very Satisfied
2065,15569503,Yeh,765,France,Male,44,6,76486.0,2,Yes,Yes,159899.97,0,Not Complained,5,SILVER,877,Middle_Age,Very Satisfied
2066,15581840,DeRose,626,France,Male,33,8,76486.0,2,Yes,No,138504.28,0,Not Complained,4,PLATINUM,331,Early_Adult,Satisfied
2067,15772262,Vavilov,545,Germany,Male,37,9,110484.0,1,Yes,Yes,127394.67,0,Not Complained,5,DIAMOND,233,Middle_Age,Very Satisfied
2068,15767794,Browne,744,France,Male,31,9,120718.0,1,Yes,Yes,58961.49,0,Not Complained,3,GOLD,332,Early_Adult,Neutral
2069,15629338,Collingridge de Tourcey,658,Spain,Female,31,2,36567.0,1,Yes,No,103644.98,1,Complained,4,PLATINUM,953,Early_Adult,Satisfied
2070,15790379,Rowe,629,Germany,Male,28,8,108601.0,1,Yes,Yes,119647.7,0,Not Complained,1,GOLD,756,Early_Adult,Very Dissatisfied
2071,15750684,Jibunoh,719,France,Female,42,4,76486.0,1,Yes,No,28465.86,1,Complained,5,PLATINUM,570,Middle_Age,Very Satisfied
2072,15697214,Korovin,686,Spain,Female,36,5,76486.0,2,Yes,Yes,152979.14,0,Not Complained,4,GOLD,966,Middle_Age,Satisfied
2073,15711015,Hammonds,743,France,Male,36,4,76486.0,2,Yes,Yes,190911.02,0,Not Complained,3,GOLD,739,Middle_Age,Neutral
2074,15573309,Ward,626,Spain,Female,48,2,76486.0,2,Yes,Yes,95794.98,0,Not Complained,3,DIAMOND,682,Senior,Neutral
2075,15805303,Olisanugo,661,Germany,Male,44,1,141137.0,1,Yes,No,189742.78,1,Complained,2,DIAMOND,362,Middle_Age,Dissatisfied
2076,15741385,Gallop,710,Germany,Male,45,9,108231.0,1,Yes,Yes,188574.08,0,Not Complained,5,GOLD,965,Middle_Age,Very Satisfied
2077,15780254,Gartrell,654,France,Male,40,6,76486.0,1,No,No,183872.88,1,Complained,4,DIAMOND,720,Middle_Age,Satisfied
2078,15744843,K'ung,569,Spain,Female,34,6,144855.0,1,No,No,196555.32,0,Not Complained,4,GOLD,697,Early_Adult,Satisfied
2079,15815626,Oluchi,640,France,Male,63,2,68432.0,2,Yes,Yes,112503.24,1,Complained,1,SILVER,384,Elder,Very Dissatisfied
2080,15784736,Jamieson,562,France,Male,45,6,136855.0,1,Yes,No,46864.0,0,Not Complained,4,SILVER,942,Middle_Age,Satisfied
2081,15813412,Barlow,721,France,Female,55,3,44021.0,1,Yes,No,65864.4,1,Complained,3,GOLD,712,Senior,Neutral
2082,15809143,White,456,Germany,Male,32,9,133061.0,1,Yes,Yes,125167.92,0,Not Complained,2,DIAMOND,655,Early_Adult,Dissatisfied
2083,15617617,Stewart,811,Spain,Male,39,7,76486.0,2,Yes,Yes,177519.39,0,Not Complained,3,GOLD,363,Middle_Age,Neutral
2084,15779738,Buccho,534,France,Male,24,1,76486.0,1,Yes,Yes,169653.32,0,Not Complained,4,GOLD,867,Young,Satisfied
2085,15668669,Benson,423,France,Female,36,5,97666.0,1,Yes,No,118372.55,1,Complained,2,SILVER,936,Middle_Age,Dissatisfied
2086,15687477,Thompson,594,Germany,Male,28,5,185013.0,1,Yes,No,16481.12,0,Not Complained,2,GOLD,817,Early_Adult,Dissatisfied
2087,15578908,Todd,725,Spain,Female,32,0,76486.0,2,Yes,Yes,138525.19,0,Not Complained,2,PLATINUM,823,Early_Adult,Dissatisfied
2088,15687658,Burgin,716,France,Female,52,7,65972.0,2,Yes,No,14608.0,1,Complained,2,PLATINUM,450,Senior,Dissatisfied
2089,15615020,Nnaife,595,Germany,Female,41,9,150463.0,2,No,Yes,81548.38,0,Not Complained,3,PLATINUM,406,Middle_Age,Neutral
2090,15608886,Okwudiliolisa,679,France,Female,33,1,76486.0,2,No,No,69608.48,0,Not Complained,5,DIAMOND,999,Early_Adult,Very Satisfied
2091,15602551,Johnson,667,Spain,Male,39,9,76486.0,2,Yes,No,68873.8,0,Not Complained,5,PLATINUM,535,Middle_Age,Very Satisfied
2092,15672945,Parkes,661,France,Female,37,5,136425.0,1,Yes,No,81102.81,0,Not Complained,2,PLATINUM,687,Middle_Age,Dissatisfied
2093,15757408,Lo,655,Spain,Male,38,3,250898.0,3,No,Yes,81054.0,1,Complained,1,SILVER,336,Middle_Age,Very Dissatisfied
2094,15806132,Martin,555,France,Male,55,4,146799.0,1,Yes,Yes,74149.77,0,Not Complained,2,DIAMOND,537,Senior,Dissatisfied
2095,15813022,Kapustina,531,Spain,Male,70,1,76486.0,2,No,No,99503.19,0,Not Complained,2,PLATINUM,982,Elder,Dissatisfied
2096,15673578,Page,611,Germany,Female,40,7,128487.0,2,Yes,No,10109.47,0,Not Complained,5,DIAMOND,559,Middle_Age,Very Satisfied
2097,15757916,Amaechi,600,France,Female,38,9,76486.0,2,Yes,Yes,58855.85,0,Not Complained,5,PLATINUM,700,Middle_Age,Very Satisfied
2098,15689168,Munro,531,Spain,Male,37,1,143407.0,2,No,Yes,84402.46,0,Not Complained,1,SILVER,556,Middle_Age,Very Dissatisfied
2099,15769216,Panicucci,601,France,Female,43,2,76486.0,1,Yes,No,49713.87,1,Complained,3,PLATINUM,732,Middle_Age,Neutral
2100,15593295,Greathouse,548,France,Male,57,6,76166.0,1,Yes,Yes,133537.53,0,Not Complained,2,PLATINUM,816,Senior,Dissatisfied
2101,15804814,Ts'ui,759,France,Male,40,4,76486.0,2,Yes,No,124615.59,0,Not Complained,1,SILVER,685,Middle_Age,Very Dissatisfied
2102,15778934,Napolitani,678,Spain,Female,49,8,76486.0,2,No,Yes,98090.69,0,Not Complained,3,DIAMOND,401,Senior,Neutral
2103,15802351,Beers,755,Germany,Female,33,6,90560.0,2,Yes,Yes,42607.69,0,Not Complained,4,DIAMOND,578,Early_Adult,Satisfied
2104,15630241,Tretyakova,594,France,Male,61,3,62391.0,1,Yes,Yes,192434.11,0,Not Complained,4,SILVER,968,Elder,Satisfied
2105,15719561,Lin,768,France,Male,42,5,76486.0,3,No,No,60686.4,0,Not Complained,1,DIAMOND,265,Middle_Age,Very Dissatisfied
2106,15615096,Costa,492,France,Female,31,7,76486.0,2,Yes,Yes,49463.44,0,Not Complained,2,SILVER,783,Early_Adult,Dissatisfied
2107,15659931,Ibezimako,637,Germany,Female,55,1,123378.0,1,Yes,No,81431.99,1,Complained,3,DIAMOND,525,Senior,Neutral
2108,15714586,Marcelo,646,Spain,Female,42,3,99836.0,1,No,Yes,22909.56,0,Not Complained,3,GOLD,324,Middle_Age,Neutral
2109,15634949,Hay,593,Germany,Male,74,5,161434.0,2,Yes,Yes,65532.17,0,Not Complained,5,PLATINUM,264,Elder,Very Satisfied
2110,15589224,Moore,596,Spain,Male,41,5,76486.0,2,No,Yes,141053.85,0,Not Complained,4,SILVER,906,Middle_Age,Satisfied
2111,15795990,Lumholtz,722,Germany,Female,48,10,138312.0,1,Yes,Yes,3472.63,1,Complained,2,DIAMOND,310,Senior,Dissatisfied
2112,15603216,Simpson,642,France,Male,25,7,76486.0,2,Yes,No,102083.78,0,Not Complained,3,SILVER,905,Young,Neutral
2113,15631201,Hill,472,Spain,Female,28,4,76486.0,2,Yes,No,1801.77,0,Not Complained,3,DIAMOND,633,Early_Adult,Neutral
2114,15686255,Mouzon,738,Germany,Male,35,6,101745.0,1,No,No,85185.44,0,Not Complained,3,PLATINUM,280,Early_Adult,Neutral
2115,15746594,Wu,732,Spain,Male,33,8,76486.0,1,Yes,No,119882.7,0,Not Complained,2,DIAMOND,741,Early_Adult,Dissatisfied
2116,15718893,Pirozzi,404,Germany,Female,54,4,125456.0,1,Yes,No,83715.66,1,Complained,3,PLATINUM,353,Senior,Neutral
2117,15671609,Ibeabuchi,701,France,Male,44,7,76486.0,2,Yes,No,23425.78,0,Not Complained,3,SILVER,482,Middle_Age,Neutral
2118,15652540,Garnsey,683,France,Male,31,2,76486.0,2,No,Yes,77326.78,0,Not Complained,2,DIAMOND,791,Early_Adult,Dissatisfied
2119,15774857,Synnot,460,France,Female,27,7,76486.0,2,Yes,No,156150.08,1,Complained,3,PLATINUM,299,Early_Adult,Neutral
2120,15791836,Wildman,690,France,Male,29,5,76486.0,2,Yes,No,108577.97,0,Not Complained,3,PLATINUM,242,Early_Adult,Neutral
2121,15651554,Anenechukwu,618,Germany,Female,54,4,118449.0,1,Yes,Yes,133573.29,1,Complained,1,SILVER,534,Senior,Very Dissatisfied
2122,15583576,Tai,671,France,Male,30,2,76486.0,1,No,Yes,102057.86,0,Not Complained,3,PLATINUM,743,Early_Adult,Neutral
2123,15732740,Plant,765,Spain,Female,32,9,178096.0,1,No,No,47247.56,0,Not Complained,3,GOLD,656,Early_Adult,Neutral
2124,15723320,Azubuike,651,Germany,Female,25,2,109175.0,2,Yes,No,114566.47,0,Not Complained,1,SILVER,652,Young,Very Dissatisfied
2125,15603851,Galkin,704,France,Male,32,7,127785.0,4,No,No,184464.7,1,Complained,1,PLATINUM,981,Early_Adult,Very Dissatisfied
2126,15777923,Johnston,544,France,Female,45,6,76486.0,2,No,Yes,151401.33,0,Not Complained,2,DIAMOND,686,Middle_Age,Dissatisfied
2127,15735719,Babbage,790,France,Female,40,9,76486.0,2,Yes,Yes,70607.1,0,Not Complained,4,SILVER,581,Middle_Age,Satisfied
2128,15703482,Walker,710,Germany,Male,34,9,134260.0,2,Yes,No,147074.67,0,Not Complained,5,GOLD,257,Early_Adult,Very Satisfied
2129,15605835,Rice,743,France,Male,37,8,69144.0,2,No,Yes,105780.18,0,Not Complained,3,PLATINUM,785,Middle_Age,Neutral
2130,15664881,Norton,702,France,Male,34,4,100055.0,1,Yes,No,109496.45,0,Not Complained,3,PLATINUM,907,Early_Adult,Neutral
2131,15757568,Bogolyubov,704,France,Female,45,6,76486.0,1,Yes,Yes,137739.45,0,Not Complained,5,GOLD,701,Middle_Age,Very Satisfied
2132,15792660,Gibbons,614,France,Male,38,2,116249.0,1,Yes,No,105140.92,0,Not Complained,3,DIAMOND,762,Middle_Age,Neutral
2133,15599722,Chia,609,Spain,Female,43,6,86054.0,2,Yes,Yes,113276.46,1,Complained,5,PLATINUM,529,Middle_Age,Very Satisfied
2134,15726354,Smith,688,France,Female,32,6,123158.0,1,Yes,No,172531.23,0,Not Complained,3,GOLD,499,Early_Adult,Neutral
2135,15610355,Hunter,713,France,Male,44,1,63439.0,1,Yes,No,64375.4,0,Not Complained,5,GOLD,658,Middle_Age,Very Satisfied
2136,15704284,Ekechukwu,736,Germany,Male,57,9,95295.0,1,Yes,No,28434.44,1,Complained,1,SILVER,888,Senior,Very Dissatisfied
2137,15621893,Bellucci,727,France,Male,18,4,133551.0,1,Yes,Yes,46941.41,0,Not Complained,4,PLATINUM,864,Young,Satisfied
2138,15588219,Ford,850,France,Female,38,1,106872.0,2,Yes,No,29333.01,0,Not Complained,3,SILVER,527,Middle_Age,Neutral
2139,15688619,Scott,718,Spain,Male,45,3,105266.0,2,Yes,Yes,193724.51,0,Not Complained,5,SILVER,372,Middle_Age,Very Satisfied
2140,15765518,Gregson,643,France,Female,51,2,105230.0,1,Yes,No,34967.75,1,Complained,2,SILVER,848,Senior,Dissatisfied
2141,15616931,Moore,653,France,Male,41,8,102768.0,1,Yes,No,55663.85,0,Not Complained,4,DIAMOND,285,Middle_Age,Satisfied
2142,15758372,Wallace,674,France,Male,18,7,76486.0,2,Yes,Yes,55753.12,1,Complained,5,DIAMOND,603,Young,Very Satisfied
2143,15782591,Cook,690,France,Male,35,6,112690.0,1,Yes,No,176962.31,0,Not Complained,3,SILVER,828,Early_Adult,Neutral
2144,15612109,Speth,819,France,Male,38,9,122334.0,2,Yes,Yes,181507.44,0,Not Complained,1,SILVER,586,Middle_Age,Very Dissatisfied
2145,15613712,Boag,634,Spain,Male,34,1,76486.0,2,Yes,No,61995.57,0,Not Complained,5,SILVER,522,Early_Adult,Very Satisfied
2146,15639322,Grave,633,Spain,Male,33,4,137847.0,2,Yes,No,98349.13,0,Not Complained,1,DIAMOND,836,Early_Adult,Very Dissatisfied
2147,15594349,Streeten,850,France,Male,49,5,122486.0,1,No,Yes,59748.19,0,Not Complained,3,DIAMOND,852,Senior,Neutral
2148,15574167,Fox,665,France,Male,33,2,101286.0,1,Yes,Yes,159840.51,0,Not Complained,5,PLATINUM,770,Early_Adult,Very Satisfied
2149,15811842,Artemyeva,630,Spain,Male,26,7,76486.0,2,Yes,Yes,6656.64,0,Not Complained,2,DIAMOND,776,Early_Adult,Dissatisfied
2150,15648794,Giordano,836,Spain,Male,57,4,101247.0,1,Yes,No,37141.62,1,Complained,4,GOLD,611,Senior,Satisfied
2151,15771211,Perkins,668,France,Male,38,10,86978.0,1,No,Yes,37094.75,0,Not Complained,1,DIAMOND,628,Middle_Age,Very Dissatisfied
2152,15588614,Walton,753,France,Male,57,7,76486.0,1,Yes,No,159475.08,1,Complained,2,DIAMOND,647,Senior,Dissatisfied
2153,15630698,Hay,745,France,Female,55,9,110124.0,1,No,Yes,51548.14,1,Complained,5,GOLD,765,Senior,Very Satisfied
2154,15694200,Gardner,693,France,Male,36,8,178112.0,1,No,No,58719.63,1,Complained,2,SILVER,447,Middle_Age,Dissatisfied
2155,15721426,Milne,606,Germany,Male,65,10,126307.0,3,No,No,7861.68,1,Complained,5,DIAMOND,591,Elder,Very Satisfied
2156,15725997,She,660,France,Female,35,6,100769.0,1,Yes,No,19199.61,0,Not Complained,2,DIAMOND,659,Early_Adult,Dissatisfied
2157,15762138,Hu,608,France,Male,42,5,76486.0,2,Yes,No,178504.29,0,Not Complained,4,DIAMOND,403,Middle_Age,Satisfied
2158,15750649,Uwakwe,744,France,Female,44,3,76486.0,2,Yes,Yes,189016.14,0,Not Complained,4,PLATINUM,862,Middle_Age,Satisfied
2159,15685706,Bird,731,France,Female,40,7,118992.0,1,Yes,Yes,156048.64,0,Not Complained,2,PLATINUM,253,Middle_Age,Dissatisfied
2160,15641835,Anderson,683,France,Male,72,3,140997.0,1,No,Yes,52876.41,0,Not Complained,3,SILVER,580,Elder,Neutral
2161,15586821,Bellew,727,France,Male,28,5,76486.0,2,No,Yes,19653.08,0,Not Complained,3,GOLD,351,Early_Adult,Neutral
2162,15569678,Cocci,561,Germany,Male,32,6,166825.0,1,Yes,No,139451.98,0,Not Complained,5,GOLD,296,Early_Adult,Very Satisfied
2163,15793842,Krichauff,700,France,Female,34,2,76323.0,1,Yes,No,128136.29,0,Not Complained,1,DIAMOND,479,Early_Adult,Very Dissatisfied
2164,15667554,Cameron,605,France,Male,35,6,76486.0,2,Yes,Yes,45206.57,0,Not Complained,3,SILVER,241,Early_Adult,Neutral
2165,15794479,Becker,767,Spain,Male,77,8,149084.0,1,Yes,Yes,190146.83,0,Not Complained,5,GOLD,383,Elder,Very Satisfied
2166,15585041,Ainsworth,511,France,Male,33,7,76486.0,2,No,Yes,158313.87,0,Not Complained,4,PLATINUM,413,Early_Adult,Satisfied
2167,15780650,Biryukov,667,France,Male,40,9,76486.0,1,Yes,Yes,96670.2,0,Not Complained,3,GOLD,879,Middle_Age,Neutral
2168,15780846,Redding,787,France,Male,33,1,126589.0,2,No,Yes,62163.53,0,Not Complained,1,GOLD,251,Early_Adult,Very Dissatisfied
2169,15805260,Wood,705,Germany,Female,56,2,143250.0,1,Yes,No,88428.41,1,Complained,3,PLATINUM,613,Senior,Neutral
2170,15621629,Scott,773,Germany,Male,43,8,81845.0,2,Yes,Yes,35908.46,0,Not Complained,5,PLATINUM,368,Middle_Age,Very Satisfied
2171,15662151,Gould,554,France,Male,40,4,76486.0,1,No,Yes,168780.04,0,Not Complained,5,SILVER,544,Middle_Age,Very Satisfied
2172,15747174,Hao,526,Germany,Male,58,9,190299.0,2,Yes,Yes,191263.76,0,Not Complained,1,DIAMOND,889,Senior,Very Dissatisfied
2173,15651585,Power,661,Germany,Male,35,2,117212.0,1,Yes,Yes,83052.03,0,Not Complained,3,DIAMOND,821,Early_Adult,Neutral
2174,15649738,White,698,France,Female,46,0,76486.0,2,Yes,Yes,125962.02,0,Not Complained,2,DIAMOND,613,Senior,Dissatisfied
2175,15633108,Thorpe,646,France,Male,26,4,139848.0,1,Yes,No,164696.27,0,Not Complained,2,DIAMOND,915,Early_Adult,Dissatisfied
2176,15769254,Tuan,757,Germany,Female,34,9,101861.0,2,No,No,187011.96,0,Not Complained,5,PLATINUM,903,Early_Adult,Very Satisfied
2177,15704746,Inman,699,Spain,Male,35,2,167456.0,2,Yes,Yes,55324.49,0,Not Complained,3,GOLD,936,Early_Adult,Neutral
2178,15637644,Hanson,667,France,Female,24,4,76486.0,2,No,Yes,34335.55,0,Not Complained,5,DIAMOND,560,Young,Very Satisfied
2179,15609562,MacDonald,774,Spain,Female,43,1,116360.0,1,Yes,No,17004.14,0,Not Complained,5,SILVER,239,Middle_Age,Very Satisfied
2180,15787459,Parkes,745,Spain,Male,40,3,88467.0,1,No,No,116331.42,0,Not Complained,4,SILVER,645,Middle_Age,Satisfied
2181,15762902,Stanley,649,France,Female,42,7,76486.0,2,No,Yes,22974.01,0,Not Complained,5,GOLD,295,Middle_Age,Very Satisfied
2182,15738605,Fischer,634,Germany,Female,46,5,123642.0,1,Yes,Yes,49725.16,1,Complained,1,PLATINUM,751,Senior,Very Dissatisfied
2183,15724889,Chinweuba,665,Spain,Male,38,9,76486.0,1,No,Yes,87412.74,0,Not Complained,3,GOLD,309,Middle_Age,Neutral
2184,15730735,Henning,713,France,Male,38,9,72287.0,2,Yes,Yes,26136.89,0,Not Complained,1,SILVER,570,Middle_Age,Very Dissatisfied
2185,15689147,Ogochukwu,652,France,Female,40,1,76486.0,2,Yes,No,126554.96,0,Not Complained,1,PLATINUM,247,Middle_Age,Very Dissatisfied
2186,15730397,Narelle,739,Spain,Male,40,1,109682.0,1,Yes,Yes,193321.3,0,Not Complained,5,PLATINUM,523,Middle_Age,Very Satisfied
2187,15762169,Bergman,556,Germany,Male,37,9,145019.0,2,Yes,No,90928.02,1,Complained,1,SILVER,545,Middle_Age,Very Dissatisfied
2188,15589320,Sagese,699,Spain,Male,34,8,76486.0,1,Yes,Yes,76510.46,0,Not Complained,2,PLATINUM,403,Early_Adult,Dissatisfied
2189,15799211,Anenechi,708,Spain,Female,32,8,187488.0,1,Yes,Yes,120115.5,0,Not Complained,3,GOLD,681,Early_Adult,Neutral
2190,15798310,Palerma,480,France,Male,35,2,165693.0,1,Yes,Yes,197984.58,0,Not Complained,5,GOLD,592,Early_Adult,Very Satisfied
2191,15609998,Okwudilichukwu,700,Germany,Female,59,5,137648.0,1,Yes,No,142977.05,1,Complained,2,PLATINUM,839,Senior,Dissatisfied
2192,15583548,Harrison,525,Spain,Female,47,6,118560.0,1,Yes,No,82522.61,1,Complained,4,PLATINUM,375,Senior,Satisfied
2193,15761763,Jamieson,845,France,Male,33,8,164386.0,1,Yes,No,150664.97,0,Not Complained,5,GOLD,588,Early_Adult,Very Satisfied
2194,15764409,Goodman,613,France,Male,37,9,108286.0,1,Yes,Yes,114153.44,0,Not Complained,5,GOLD,656,Middle_Age,Very Satisfied
2195,15710161,Ko,850,France,Female,34,2,76486.0,2,Yes,Yes,171706.66,0,Not Complained,4,SILVER,589,Early_Adult,Satisfied
2196,15735246,Norman,798,Spain,Female,58,9,76486.0,2,No,No,119071.56,1,Complained,3,DIAMOND,400,Senior,Neutral
2197,15791700,Ugochukwutubelum,773,Germany,Male,47,2,118079.0,4,Yes,Yes,143007.49,1,Complained,4,PLATINUM,668,Senior,Satisfied
2198,15670753,Uvarova,614,Spain,Male,35,2,127284.0,1,Yes,Yes,31302.35,0,Not Complained,1,SILVER,668,Early_Adult,Very Dissatisfied
2199,15573876,Chia,473,Spain,Male,48,8,76486.0,2,Yes,No,71139.8,0,Not Complained,4,SILVER,304,Senior,Satisfied
2200,15770174,Piazza,762,France,Male,29,6,141389.0,1,Yes,No,54122.89,0,Not Complained,2,DIAMOND,635,Early_Adult,Dissatisfied
2201,15641114,Power,701,France,Male,37,8,130092.0,1,Yes,Yes,120031.29,0,Not Complained,1,PLATINUM,902,Middle_Age,Very Dissatisfied
2202,15682435,P'eng,600,France,Male,35,4,143745.0,2,Yes,No,104076.51,0,Not Complained,4,GOLD,797,Early_Adult,Satisfied
2203,15751788,Johnson,850,Spain,Male,28,9,97408.0,1,Yes,Yes,175853.64,0,Not Complained,3,GOLD,962,Early_Adult,Neutral
2204,15672598,Walker,613,Spain,Male,30,9,111927.0,1,Yes,Yes,175795.87,0,Not Complained,1,SILVER,515,Early_Adult,Very Dissatisfied
2205,15762803,Innes,509,France,Male,31,3,76486.0,2,Yes,No,15360.91,0,Not Complained,5,PLATINUM,299,Early_Adult,Very Satisfied
2206,15812982,Francis,509,Spain,Male,38,2,76486.0,1,No,No,168460.12,0,Not Complained,2,GOLD,450,Middle_Age,Dissatisfied
2207,15597901,Chidozie,609,France,Male,34,1,76486.0,1,Yes,Yes,181177.9,0,Not Complained,4,PLATINUM,226,Early_Adult,Satisfied
2208,15731507,Mackenzie,456,France,Female,33,1,188286.0,1,No,No,58363.94,0,Not Complained,5,PLATINUM,516,Early_Adult,Very Satisfied
2209,15809826,Craigie,728,France,Female,46,2,109706.0,1,Yes,No,20276.87,1,Complained,5,PLATINUM,469,Senior,Very Satisfied
2210,15764237,Manfrin,663,Spain,Male,33,9,76486.0,2,No,No,91514.62,0,Not Complained,5,PLATINUM,868,Early_Adult,Very Satisfied
2211,15769917,Onyekachi,673,Germany,Female,34,1,127123.0,3,No,Yes,76703.1,0,Not Complained,5,DIAMOND,520,Early_Adult,Very Satisfied
2212,15641850,Pethard,717,France,Male,40,0,98241.0,1,Yes,No,110887.14,0,Not Complained,3,GOLD,817,Middle_Age,Neutral
2213,15770974,Nwabugwu,741,Germany,Female,37,8,170840.0,2,No,No,109843.16,0,Not Complained,1,SILVER,947,Middle_Age,Very Dissatisfied
2214,15803749,DeRose,498,Germany,Female,41,4,87541.0,2,Yes,Yes,12577.21,1,Complained,3,GOLD,326,Middle_Age,Neutral
2215,15684999,Ch'eng,850,France,Female,26,4,62611.0,2,No,Yes,179365.1,0,Not Complained,3,DIAMOND,604,Early_Adult,Neutral
2216,15770225,Padovesi,493,France,Male,36,9,76486.0,2,Yes,Yes,65816.53,0,Not Complained,4,SILVER,293,Middle_Age,Satisfied
2217,15627484,Obielumani,686,France,Female,47,5,113329.0,1,Yes,No,124170.9,0,Not Complained,4,PLATINUM,666,Senior,Satisfied
2218,15610337,Stephens,666,Spain,Male,35,2,104832.0,1,Yes,No,175015.12,0,Not Complained,4,DIAMOND,411,Early_Adult,Satisfied
2219,15752488,Emery,733,Spain,Female,31,9,102290.0,1,Yes,Yes,115441.66,0,Not Complained,2,PLATINUM,239,Early_Adult,Dissatisfied
2220,15610056,Dufresne,631,Germany,Female,34,6,125228.0,2,No,Yes,128247.03,0,Not Complained,2,PLATINUM,305,Early_Adult,Dissatisfied
2221,15806049,Lee,714,Germany,Female,49,5,140511.0,1,Yes,No,141914.94,0,Not Complained,1,DIAMOND,455,Senior,Very Dissatisfied
2222,15736069,Hsing,767,Germany,Female,35,6,132253.0,1,Yes,No,115566.57,1,Complained,4,SILVER,704,Early_Adult,Satisfied
2223,15763662,Longo,711,Germany,Male,43,2,39043.0,2,Yes,Yes,175423.69,0,Not Complained,2,DIAMOND,258,Middle_Age,Dissatisfied
2224,15615575,Vial,722,France,Male,34,8,76486.0,2,Yes,Yes,133447.49,0,Not Complained,1,DIAMOND,523,Early_Adult,Very Dissatisfied
2225,15691723,Chukwudi,631,Spain,Male,55,9,99685.0,1,Yes,No,114474.98,0,Not Complained,1,DIAMOND,932,Senior,Very Dissatisfied
2226,15774098,Grant,701,Germany,Male,38,3,125385.0,2,No,Yes,52044.66,0,Not Complained,2,DIAMOND,805,Middle_Age,Dissatisfied
2227,15750808,Ma,790,Spain,Male,46,2,131365.0,2,Yes,Yes,180290.68,0,Not Complained,5,GOLD,242,Senior,Very Satisfied
2228,15744368,Sun,633,Spain,Male,58,6,98309.0,1,Yes,Yes,132034.13,0,Not Complained,3,DIAMOND,808,Senior,Neutral
2229,15610594,Moss,644,France,Female,37,8,76486.0,2,Yes,No,20968.88,0,Not Complained,3,GOLD,910,Middle_Age,Neutral
2230,15756125,Booth,757,Spain,Male,44,5,140856.0,2,Yes,No,158735.1,0,Not Complained,5,DIAMOND,293,Middle_Age,Very Satisfied
2231,15623277,Ross,696,France,Female,30,8,76486.0,2,Yes,Yes,196134.44,0,Not Complained,3,SILVER,890,Early_Adult,Neutral
2232,15795954,Ndukaku,746,France,Male,35,2,172274.0,1,Yes,No,22374.97,0,Not Complained,3,PLATINUM,950,Early_Adult,Neutral
2233,15671969,Pruneda,649,Spain,Male,36,8,76486.0,2,Yes,No,161668.15,0,Not Complained,3,GOLD,354,Middle_Age,Neutral
2234,15791268,Neumann,565,Spain,Male,38,0,122448.0,1,No,No,67339.34,0,Not Complained,4,PLATINUM,652,Middle_Age,Satisfied
2235,15713655,Calabrese,720,France,Female,38,10,76486.0,2,Yes,Yes,56229.72,1,Complained,2,GOLD,966,Middle_Age,Dissatisfied
2236,15633930,Yobachukwu,648,Spain,Female,56,6,157560.0,2,Yes,No,140991.23,1,Complained,4,SILVER,320,Senior,Satisfied
